scenario_id,target_name,pair_type,component_i,component_j,family_i,family_j,batch_i,batch_j,proxy_score,gate,attention,pair_strength,target_true
train_53,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_10,Базовое,Противоизносная,02596.22,02028.22,0.5207391977310181,0.8318902850151062,0.12570413947105408,4.979716777801514,-10.17
train_53,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_10,Базовое,Противоизносная,01939.22,02028.22,3.7803056240081787,0.8531666994094849,0.8654091954231262,5.120018482208252,-10.17
train_53,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_10,Детергент,Противоизносная,0174.22,02028.22,0.0006887670606374741,0.7013411521911621,0.00028492245473898947,3.4468021392822266,-10.17
train_53,viscosity,zddp_detergent,Детергент_4,Противоизносная_присадка_10,Детергент,Противоизносная,02623.22,02028.22,0.0005394809995777905,0.5200222134590149,0.00037128094118088484,2.7941622734069824,-10.17
train_54,viscosity,ao_ao,Антиоксидант_5,Антиоксидант_6,Антиоксидант,Антиоксидант,32,нет номера у образца,5.051867265137844e-05,0.018378473818302155,0.0020776644814759493,1.3230220079421997,-9.59
train_54,viscosity,ao_mo,Антиоксидант_5,Соединение_молибдена_2,Антиоксидант,Соединение,32,01762.22,7.223158172564581e-05,0.018787726759910583,0.0013363686157390475,2.8769121170043945,-9.59
train_54,viscosity,ao_mo,Антиоксидант_6,Соединение_молибдена_2,Антиоксидант,Соединение,нет номера у образца,01762.22,0.0001580574462423101,0.011794716119766235,0.0036428645253181458,3.6786158084869385,-9.59
train_54,viscosity,antiwear_ca_mg,Базовое_масло_2,Противоизносная_присадка_10,Базовое,Противоизносная,02596.22,02028.22,0.4464889168739319,0.8318902850151062,0.10778044909238815,4.979716777801514,-9.59
train_54,viscosity,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_10,Базовое,Противоизносная,01939.22,02028.22,3.953900098800659,0.8679675459861755,0.8846085071563721,5.149571418762207,-9.59
train_54,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_10,Детергент,Противоизносная,0174.22,02028.22,0.00044968313886784017,0.7293323278427124,0.00018126853683497757,3.4014077186584473,-9.59
train_54,viscosity,zddp_detergent,Детергент_4,Противоизносная_присадка_10,Детергент,Противоизносная,02623.22,02028.22,0.0005092598730698228,0.6343135237693787,0.00037288398016244173,2.153087854385376,-9.59
train_55,viscosity,ao_ao,Антиоксидант_5,Антиоксидант_6,Антиоксидант,Антиоксидант,32,нет номера у образца,4.348875518189743e-05,0.017890213057398796,0.0018186785746365786,1.3366124629974365,-9.39
train_55,viscosity,ao_mo,Антиоксидант_5,Соединение_молибдена_2,Антиоксидант,Соединение,32,01762.22,6.195348396431655e-05,0.01827649213373661,0.0011690726969391108,2.899554967880249,-9.39
