component,rank,feature,abs_weight,weight,loading
component_11,7,antioxidant__ionization_ev__wm,0.2005784602152613,-0.2005784602152613,-0.11966476994184105
component_11,8,antiwear__chain_length__wm,0.1919079547914971,-0.1919079547914971,0.2440298387230588
component_11,9,temperature_x_time,0.16652976281931503,0.16652976281931503,0.40404241189705603
component_11,10,interaction__biofuel_x_zddp,0.16463319868101253,0.16463319868101253,-0.16605392326102936
component_11,11,regime_load,0.16000256961247497,-0.16000256961247497,-0.16486302970506697
component_11,12,antiwear__sulfur_pct__wm,0.15906210373649154,-0.15906210373649154,-0.0699922086895503
component_11,13,severity_x_biofuel,0.15288541507078957,-0.15288541507078957,-0.24438302722865293
component_11,14,family_total_dose__antiwear,0.15146098401933075,-0.15146098401933075,-0.04270202131095942
component_11,15,time_h,0.1508325854352197,0.1508325854352197,0.33589961055391665
component_12,1,antiwear__chain_length__wm,0.551213473465753,0.551213473465753,0.3590209271367873
component_12,2,interaction__biofuel_x_zddp,0.40069913195126067,-0.40069913195126067,-0.19549350010476324
component_12,3,temperature_x_time,0.2704548856954793,0.2704548856954793,0.6413820353857641
component_12,4,detergent__tbn_astm__wm,0.24901407675778775,-0.24901407675778775,-0.20722125717817544
component_12,5,base_oil__ccs_m35__wm,0.2470694408105254,-0.2470694408105254,-0.49459996271985024
component_12,6,severity_x_catalyst,0.21336645240335514,0.21336645240335514,0.17392469685793863
component_12,7,time_h,0.2112085403250894,0.2112085403250894,0.49730643332598773
component_12,8,base_oil__kv40__wm,0.20656577118685376,0.20656577118685376,0.2716390760372526
component_12,9,catcount__base_oil__группа_по_api__1,0.19369222817325768,-0.19369222817325768,-0.2620941969376719
component_12,10,base_oil__pour_point_c__max,0.1490557876729736,-0.1490557876729736,-0.1125190956741719
component_12,11,catalyst_category,0.14811077594807484,0.14811077594807484,-0.02196583638939027
component_12,12,base_oil_visc_ratio,0.14090579301515838,0.14090579301515838,0.20898779860830427
component_12,13,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.1358480957352163,0.1358480957352163,-0.37871334493243186
component_12,14,family_total_dose__antiwear,0.12611997668075933,0.12611997668075933,0.16153900315806521
component_12,15,severity_x_biofuel,0.10838776112165342,-0.10838776112165342,-0.019822557325744974
